symbol,type,num_rules,description
"","pos?",2,"Likely POS tag (not in table)"
"''","pos",1,"Closing quote"
",","pos",2,"Comma"
".","pos",4,"Sentence-final punctuation (. ! ?)"
":","pos",3,"Colon, semi-colon, dash"
"ADJP","phrase",39,"Adjective phrase"
"ADVP","phrase",21,"Adverb phrase"
"CC","pos",8,"Coordinating conjunction (and, or, but)"
"CD","pos",5,"Cardinal number"
"CONJP","phrase",3,"Conjunction phrase"
"DT","pos",22,"Determiner (the, a, this)"
"EX","pos",2,"Existential 'there'"
"FRAG","phrase?",6,"Likely phrase/category (not in table)"
"FW","pos",3,"Foreign word"
"IN","pos",53,"Preposition/subordinating conjunction (in, on, because)"
"JJ","pos",162,"Adjective"
"JJR","pos",12,"Adjective, comparative (bigger)"
"JJS","pos",4,"Adjective, superlative (biggest)"
"LS","pos",1,"List item marker"
"MD","pos",8,"Modal (can, will, should)"
"NML","phrase?",16,"Likely phrase/category (not in table)"
"NN","pos",300,"Noun, singular or mass"
"NNP","pos",27,"Proper noun, singular"
"NNPS","pos",1,"Proper noun, plural"
"NNS","pos",115,"Noun, plural"
"NP","phrase",139,"Noun phrase"
"NP+NP","phrase?",1,"Likely phrase/category (not in table)"
"PDT","pos",1,"Predeterminer (all, many)"
"POS","pos",2,"Possessive ending ('s)"
"PP","phrase",31,"Prepositional phrase"
"PRP","pos",14,"Personal pronoun (I, you, we)"
"PRP$","pos",7,"Possessive pronoun (my, your, our)"
"PRT","phrase",2,"Particle"
"QP","phrase",2,"Quantifier phrase"
"RB","pos",78,"Adverb (quickly, not)"
"RBR","pos",4,"Adverb, comparative (faster)"
"RBS","pos",2,"Adverb, superlative (fastest)"
"RP","pos",5,"Particle (up, off)"
"S","phrase",53,"Clause / sentence"
"S+ADJP","phrase?",5,"Likely phrase/category (not in table)"
"S+NP","phrase?",1,"Likely phrase/category (not in table)"
"S+VP","phrase?",69,"Likely phrase/category (not in table)"
"SBAR","phrase",28,"Subordinate clause (introduced by 'that', 'because', etc.)"
"SBAR+S","phrase?",3,"Likely phrase/category (not in table)"
"SBAR+S+VP","phrase?",1,"Likely phrase/category (not in table)"
"SBARQ","phrase",6,"Direct question with fronted wh-word"
"SINV","phrase",3,"Inverted declarative sentence"
"SQ","phrase",11,"Inverted yes/no question"
"TO","pos",2,"Infinitive 'to'"
"TOP","phrase?",6,"Likely phrase/category (not in table)"
"UCP","phrase?",12,"Likely phrase/category (not in table)"
"UH","pos",1,"Interjection (uh, well)"
"VB","pos",89,"Verb, base form"
"VBD","pos",60,"Verb, past tense"
"VBG","pos",26,"Verb, gerund/present participle"
"VBN","pos",53,"Verb, past participle"
"VBP","pos",60,"Verb, non-3sg present"
"VBZ","pos",45,"Verb, 3sg present"
"VP","phrase",117,"Verb phrase"
"WDT","pos",4,"Wh-determiner (which, that)"
"WHADJP","phrase",3,"Wh-adjective phrase (how big...)"
"WHADVP","phrase",6,"Wh-adverb phrase (why, how...)"
"WHNP","phrase",17,"Wh-noun phrase (who, what, which...)"
"WHPP","phrase",1,"Wh-prepositional phrase (in which, to whom...)"
"WP","pos",3,"Wh-pronoun (who, what)"
"WP$","pos",1,"Possessive wh-pronoun (whose)"
"WRB","pos",7,"Wh-adverb (where, when, how)"
"``","pos",1,"Opening quote"
